FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_MCAL_MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_ BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_OP_OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CUR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_ REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER-REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON,
106580996,ADVENTIST HEALTH AND RIDEOUT,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Yuba,2,227,Non-Profit,General,Comparable,,530-749-4545,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,CEO,,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",3,05-0133,1720088354,ZZR00133F,221,221,162,"29,589","2,309","3,885","12,655",0,"3,619","4,935",0,362,"57,354","5,862",458,770,"2,508",0,717,978,0,72,"11,365",221,0,0,0,0,0,"57,354",0,0,0,0,0,"11,365",0,0,0,0,0,70.9,70.9,5,5,14,"2,811","1,750","44,329","2,721","12,450","44,788",0,"40,964","19,621",0,"6,561","171,434","58,983","68,893",0,"46,971",0,5,"143,490","128,310","1,696","1,694","1,285",547,"1,593,995,457","1,188,381,002",0,"405,614,455","34,216,741","452,573,685","-12,742,489","4,948,772","29,657,917",0,0,"-37,451,634","389,894,498","144,185,495","1,059,915,464","497,994,778","39,594,366","68,765,410","230,754,235",0,"75,717,219","105,287,890",0,"9,541,978","1,027,655,876","225,690,051","13,297,014","27,541,314","149,459,350",0,"36,471,151","94,649,669",0,"19,231,032","566,339,581","571,342,173","38,283,339","80,290,161","288,817,261",0,0,"72,273,961","87,560,000","20,004,970",0,"8,581,859",0,"21,227,278",0,0,0,0,"148,324,411","14,062,919","14,821,660","88,994,119",0,"34,553,429","100,601,333",0,"4,256,584",0,0,0,"1,100,065",0,0,"88,116,292","45,764,696","141,136,582",0,0,0,0,"46,271,645","3,021,005","111,860,423","16,403,042","131,905,458","54,932,365","36,346,358","9,731,819","64,938,778","97,802,105","22,350,427","2,669,598","525,462","3,958,840","27,412,475","160,432,685",0,"321,282,768","3,818,419","3,703,790","3,566,994","492,804,656","82,754,621",0,"163,223,728","246,826,307","492,804,656","36,317,077","260,534,061","-200,842,850","387,689,025","152,778,660","565,365,394","244,082,626",0,"5,897,728",0,"166,833,348","3,609,620","7,586,761","139,332,921","1,260",566,"2,356,981","315,994","2,672,975",297,0,"161,462","757,019","917,800","5,061","206,285","135,612","108,205","12,838","47,197","5,502","814,588","332,857","728,345",0,"247,567","25,306","208,318",0,"927,944","379,998","834,213",0,"270,975","27,676","232,169",0,
106150788,ADVENTIST HEALTH BAKERSFIELD,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,CEO,WWW.ADVENTISTHEALTH.ORG/BAKERSFIELD,ADVENTIST HEALTH,MIMI BOHR,"TOYON ASSOCIATES, INC.",,05-0455,HSC30455F,ZZT30455F,254,254,170,"13,042","11,088","3,578","12,193",0,"3,887","15,819",0,430,"60,037","3,190","2,712",875,"2,982",0,951,"3,868",0,105,"14,683",254,0,0,0,0,0,"60,037",0,0,0,0,0,"14,683",0,0,0,0,0,64.6,64.6,4.1,4.1,0,0,0,"39,601","18,621","5,416","41,808",0,"10,083","64,036",0,"6,722","186,287","59,679","109,568",0,"24,730",0,4,"241,950","461,580","2,838","6,245","1,757",627,"2,198,037,126","1,771,029,168",0,"427,007,958","10,936,947","413,114,428","24,830,477","5,354,377","13,471,608",0,0,"16,713,246","375,636,393","248,904,825","1,573,495,908","288,370,492","281,349,791","67,267,266","235,551,180",0,"80,746,252","300,411,673",0,"9,901,813","1,263,598,467","188,504,723","140,415,548","21,854,511","201,333,954",0,"68,198,938","293,695,935",0,"20,435,050","934,438,659","403,697,784","355,418,308","66,019,109","347,578,152",0,0,"120,398,252","444,957,998","10,489,430",0,"3,858,231",0,"18,611,904",0,0,0,0,"71,597,231","65,167,073","22,126,618","88,003,410",0,"26,619,148","141,988,112",0,"11,506,366",0,0,"10,000","4,026,269",0,0,"65,132,615","34,541,773","141,534,058",0,0,"86,937",628,"39,941,736","4,281,353","118,083,131","9,512,197","107,666,950","48,117,247","29,881,214","4,181,891","78,115,368","96,990,017","9,862,951","2,352,853","1,396,904","2,173,184","32,375,849","247,355,359",0,"126,777,243","39,339,803",0,"287,182","413,759,587","70,090,296",0,"87,868,560","255,800,731","413,759,587","129,710,229","318,984,617","-265,171,714","175,700,181","110,695,089","311,805,980","185,028,737","433,209",0,"3,644,750","89,311,526","1,442,966","10,450,597","94,907,987","1,269",575,"2,332,910","348,665","2,681,575",562,0,"151,653","802,122","965,964","13,929","175,066","129,643","49,340","2,470","41,587","1,136","815,280","398,664","716,382","1,407","238,711","6,999","155,467",0,"944,973","461,274","827,946","1,745","264,185","7,860","173,592",0,
106171049,ADVENTIST HEALTH CLEARLAKE,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Lake,1,115,Non-Profit,General,Comparable,Rural,707-995-5705,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,CEO,WWW.ADVENTISTHEALTH.ORG/CLEAR-LAKE,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1317,1124018031,,25,25,17,"2,410",82,249,"1,599",0,238,341,20,312,"5,251",500,14,80,458,0,55,105,4,117,"1,333",23,0,0,0,2,0,"4,992",0,0,0,259,0,"1,303",0,0,0,30,0,57.4,57.4,3.9,3.8,0,0,0,"64,175","1,934","51,295","71,569",0,"4,038","24,303","1,356","3,381","222,051","17,617","144,289",0,"59,244",135,2,"15,885","67,700",168,"1,655",120,49,"330,611,360","208,496,934","8,928,763","131,043,189","10,107,761","142,970,561","-1,819,611","1,025,512","78,494",0,0,"-872,593","34,614,531","121,599,533","174,397,296","34,516,846","1,154,727","4,061,050","22,313,711",0,"3,457,802","5,320,236","265,274","4,412,257","75,501,903","86,835,681","2,878,385","27,203,352","85,133,722",0,"8,686,828","34,215,785","719,189","9,436,515","255,109,457","68,226,021","2,993,019","17,136,057","75,094,579","-676,546",0,"8,388,482","20,773,313","8,297,283",0,"2,713,237",0,"5,551,489",0,"2,946,860",0,"5,981,903","53,126,506","1,040,093","13,792,638","34,583,193",0,"3,756,148","24,744,611",0,0,0,"2,372,439","14,379","817,857",0,0,"11,715,983","53,106,337","28,734,887","246,247","832,029",0,0,"8,830,710","5,635,420","27,579,728","6,289,220","39,428,546","19,136,774","24,090,902","2,611,215","10,212,403","34,808,391","4,192,881","641,153","251,706","1,783,426","5,813,164","75,741,571",0,"41,473,667","505,605",0,"269,000","117,989,843","24,091,492",0,"63,426,791","30,471,560","117,989,843","27,477,488","30,585,891","-7,618,651","45,332,188","26,440,455","87,789,555","46,315,888",0,0,"54,165,000","65,834,360","2,407,569","414,851","6,957,653",515,207,"958,499","139,659","1,098,158",64,0,"89,579","116,434","137,769","30,214","237,813","238,121","49,844","32,431","23,732","2,562","101,650","539,231","188,828",0,"73,885",0,"54,396",509,"117,623","615,218","216,342",0,"84,295",0,"64,170",510,
106150706,ADVENTIST HEALTH DELANO,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Kern,9,617,Non-Profit,General,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/DELANO,ADVENTIST HEALTH,RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0608,HSC30608G,ZZT60608G,156,156,74,"6,198","1,227","13,486","2,292",0,721,"1,201",0,61,"25,186",510,177,694,346,0,99,108,0,16,"1,950",105,0,0,0,51,0,"7,451",0,0,0,"17,735",0,"1,935",0,0,0,15,0,44.1,44.1,12.9,3.9,16,959,452,"9,783","4,558","8,039","39,968",0,"11,123","4,564",0,"4,558","82,593","22,243","23,718",0,"35,714",0,4,"33,900","45,360",565,756,308,188,"179,736,555","97,102,945",0,"82,633,610","2,598,428","86,186,057","-954,019","3,112,412","1,120,707",0,0,"1,037,686","32,096,176","27,927,922","119,712,457","26,444,517","9,215,775","34,412,299","18,937,929",0,"5,736,347","5,819,912",0,"964,001","101,530,780","10,746,927","4,889,704","7,262,085","34,862,446",0,"11,792,434","4,200,626",0,"4,451,553","78,205,775","27,441,716","6,461,837","12,215,878","35,148,150","-1,602,345",0,"7,307,915","6,218,825","2,704,457",0,"849,130",0,"357,382",0,0,0,0,"9,314,513","7,449,659","30,003,572","19,498,753",0,"9,464,947","3,326,264",0,"3,575,902",0,"24,637,735","9,538","2,911,558",0,0,"14,663,787","8,462,913","25,139,424",0,0,0,0,"16,184,354","2,311,711","13,709,140","5,714,728","29,661,958","12,145,568","6,501,947","2,371,087","10,329,248","8,236,958","8,039,725","396,243","1,319,099","476,294","6,707,930","139,783,876",0,"54,318,341","356,710",0,0,"194,458,927","16,852,947",0,"16,729,545","160,876,435","194,458,927","111,860,487","26,253,745","-15,492,538","81,919,349","62,379,217","154,484,213","100,165,872",0,"1,939,647","15,000,000","16,939,647","210,102","273,714","2,992,712",501,188,"944,472","114,992","1,059,464",108,0,"59,255","237,329","151,081","69,537","151,178","155,951","90,596","11,145","18,291",109,"293,134","127,088","216,599",0,"157,152","63,110","87,389",0,"324,777","141,180","242,121",0,"179,888","71,775","99,723",0,
106190323,ADVENTIST HEALTH GLENDALE,01/01/2020,12/31/2020,366,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,909,Non-Profit,General,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,ALICE ISSAI,CEO/PRESIDENT,GLENDALEADVENTIST.COM,ADVENTIST HEALTH,MATTHEW GOSS,"TOYON ASSOCIATES, INC.",,05-0239,HSC30067F,ZZT30067F,515,450,282,"42,378","9,829","13,130","11,846",0,"9,868","11,813",0,"1,320","100,184","7,803","1,916","1,928","2,429",0,828,"2,174",0,204,"17,282",367,80,0,28,40,0,"69,372","15,478",0,"6,350","8,984",0,"14,424","1,704",0,509,645,0,53.2,60.8,5.8,5.5,30,"2,957","1,591","52,102","13,707","4,902","39,843",0,"2,470","44,563",0,"3,560","161,147","42,021","25,200",0,"92,819",0,8,"248,130","229,530","2,744","2,976",927,558,"2,803,157,167","2,366,013,708",0,"437,143,459","84,769,800","508,407,915","13,505,344","12,487,778","17,196,066",0,0,"8,797,056","644,237,486","274,478,518","1,884,441,163","879,305,301","240,155,527","169,016,465","318,489,992",0,"53,808,414","284,356,544",0,"21,226,699","1,966,358,942","248,178,392","79,609,031","26,448,820","220,903,265",0,"14,932,940","230,072,343",0,"16,653,434","836,798,225","965,109,255","281,569,079","143,021,990","458,002,124",0,0,"39,991,518","395,335,752","13,020,457",0,"32,759,488",0,"37,204,045",0,0,0,0,"156,266,495","36,512,451","29,137,856","77,463,640",0,"25,941,175","110,959,244",0,"862,598",0,0,"581,901","3,215,703",0,0,"110,672,994","31,049,092","131,133,888",0,0,"689,246","5,658,450","56,503,233","13,909,175","134,585,317","24,206,520","145,717,357","60,197,799","22,147,307","12,030,985","73,226,702","114,182,206","15,310,103","4,086,677","2,015,028","5,134,771","54,358,980","238,056,417",0,"189,786,135","2,477,918",0,"6,274,211","436,594,681","90,584,218",0,"202,181,184","143,829,279","436,594,681","116,640,627","556,335,424","-492,316,502","393,308,419","111,045,723","518,239,611","328,453,476",0,"19,388,510",0,"206,031,062","3,849,878","15,171,460","181,132,076","1,735",801,"3,290,681","386,615","3,677,296",400,21,"242,796","941,715","1,175,059","56,522","370,318","212,091","92,377","132,195","64,832","2,776","1,415,515","330,041","845,549","81,341","362,434","24,836","230,965",0,"1,579,743","371,557","951,654","85,262","399,866","28,411","260,803",0,
106164029,ADVENTIST HEALTH HANFORD,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Kings,9,615,Non-Profit,General,Comparable,Rural,559-582-9000,115 MALL DRIVE,HANFORD,93232,ANDREA KOFL,PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,MIMI BOHR,"TOYON ASSOCIATES, INC.",,05-0121,,ZZT30121F,235,230,138,"13,844","4,838","9,448","13,851",0,"1,756","3,437",367,"1,847","49,388","3,006","1,050","2,051","3,008",0,381,748,79,400,"10,723",235,0,0,0,0,0,"49,388",0,0,0,0,0,"10,723",0,0,0,0,0,57.4,58.7,4.6,4.6,8,"3,912","2,398","32,559","13,203","14,384","98,944",0,"15,759","48,098","1,423","9,265","233,635","86,993","96,496",0,"59,396","3,768",12,"173,310","341,490","1,991","4,608","1,782",751,"1,188,478,285","873,722,122","19,208,349","333,964,512","11,252,780","316,507,937","28,709,355","12,236,289","15,087,686",0,0,"25,857,958","130,025,189","272,000,398","786,452,698","166,740,708","58,976,833","45,702,897","149,154,041",0,"22,134,662","43,873,158","3,986,153","21,292,577","511,861,029","114,881,480","41,590,946","33,880,128","268,634,773",0,"44,550,774","147,138,075","3,355,399","22,585,681","676,617,256","219,063,045","82,509,417","44,063,988","306,294,859","-4,417,656",0,"50,492,315","122,937,825","20,397,703",0,"8,900,071",0,"23,480,555",0,"19,208,349",0,0,"62,559,143","18,058,362","35,519,891","133,560,587",0,"16,193,121","68,073,408",0,0,0,0,0,"10,492,907",0,0,"44,815,383","24,031,880","88,389,283","3,415,774","4,515,233",0,"6,890","37,963,692","4,056,766","90,766,330","18,546,706","84,038,344","37,378,256","24,870,142","7,003,914","45,035,257","85,647,682","13,270,187","1,194,411","1,061,252","6,605,136","10,403,356","496,077,400",0,"178,125,685","1,339,156","16,743,938",0,"692,286,179","54,700,480",0,"228,751,779","408,833,920","692,286,179","368,746,853","192,198,355","-144,798,045","257,053,128","105,924,278","386,797,833","208,672,148",0,"7,732,474",0,"231,837,222","3,085,443","3,930,684","221,004,634","1,068",397,"1,961,413","281,437","2,242,850",262,3,"172,368","674,442","637,254",53,"176,463","122,304","142,439","14,411","12,473","9,206","602,420","210,815","636,723",0,"284,759","17,448","209,248",0,"690,430","244,574","735,078",0,"315,907","19,740","237,121",0,
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Mendocino,1,112,Non-Profit,General,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,CEO,WWW.ADVENTISTHEALTH.ORG/HOWARD-MEMORIAL,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",4,05-1310,1356339543,,25,25,23,"3,825",468,550,"1,773",0,215,377,43,133,"7,384",914,93,123,404,0,51,109,10,63,"1,767",21,0,0,0,4,0,"6,534",0,0,0,850,0,"1,663",0,0,0,104,0,80.7,80.7,4.2,3.9,0,0,0,"20,441","2,150","3,506","19,462",0,"2,156","14,230",281,"2,666","64,892","11,947","20,353",0,"32,981",272,2,"112,769","73,148",744,713,0,0,"241,706,841","171,078,775","4,377,880","75,005,946","8,099,884","79,772,061","3,333,769","3,369,472","792,557",0,0,"5,910,684","35,621,811","33,475,400","172,609,630","76,717,947","8,795,239","6,459,913","26,218,078",0,"4,249,725","10,833,877","726,772","3,554,865","137,556,416","34,879,857","3,953,447","5,028,027","30,853,822",0,"3,419,910","21,752,105","405,134","3,858,123","104,150,425","77,928,656","9,717,507","6,748,828","38,296,858",0,0,"4,707,720","23,783,008","3,187,454",0,"2,483,210",0,"4,225,534","1,994,933","554,087",0,"1,828,860","33,669,148","5,026,112","4,309,552","18,407,385",0,"2,961,915","10,631,834",0,0,0,0,"8,625","1,419,042",0,0,"10,092,526","10,310,925","26,260,731","309,408","234,267",0,0,"9,176,264","1,348,745","16,401,076","5,638,119","22,414,927","9,219,533","7,905,554","1,708,819","11,831,130","17,861,016","4,801,958","328,433","171,114","826,624","2,702,953","74,900,735",0,"58,914,000",0,0,0,"133,814,735","16,483,830",0,"33,230,248","84,100,657","133,814,735","59,081,272","11,047,728","-3,152,286","60,719,688","33,231,850","95,735,216","36,821,216",0,0,"25,149,000","33,476,453","246,205",0,"2,385,606",231,106,"432,558","61,769","494,327",72,0,"29,582","84,498","114,326","4,532","89,269","45,707","41,045","10,110","11,535","1,954","102,596","73,265","169,222",0,"60,096",0,"23,199","4,180","119,445","83,223","192,519",0,"67,281",0,"27,130","4,729",
106390923,ADVENTIST HEALTH LODI MEMORIAL,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,San Joaquin,6,505,Non-Profit,General,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240,TERRI DAY,PRESIDENT,HTTPS://WWW.ADVENTISTHEALTH.ORG/LODIMEMORIAL/PAGES/HOME.ASPX,"LODI MEMORIAL HOSPITAL ASSOCIATION, INC.",RAMZI FADAYEL,"TOYON ASSOCIATES, INC.",,05-0336,HSC00336F,ZZT00336F,194,194,79,"10,504","3,794","2,601","5,307",0,798,"4,198",0,237,"27,439","2,729",949,661,"1,336",0,212,"1,035",0,63,"6,985",186,0,0,8,0,0,"25,825",0,0,"1,614",0,0,"6,870",0,0,115,0,0,38.6,38.6,3.9,3.9,15,874,745,"55,654","17,390","8,672","54,081",0,"6,472","45,932",0,"6,438","194,639","41,632","54,252",0,"100,917","1,715",6,"94,710","208,080","1,035","2,677",601,362,"1,452,369,100","1,223,642,611","300,476","229,026,965","22,847,620","243,004,547","8,870,038","2,481,792","8,769,306",0,0,"2,582,524","275,583,695","184,069,278","992,716,127","317,670,937","109,552,655","72,992,079","154,271,362",0,"19,392,968","125,483,049",0,"7,417,723","806,780,773","189,819,056","58,331,640","30,024,944","173,152,332",0,"14,976,042","156,168,049",0,"23,116,264","645,588,327","447,328,401","152,639,835","85,633,759","281,545,257",0,0,"23,397,478","197,350,197","13,570,005",0,"3,303,869",0,"18,873,810",0,"300,476",0,0,"59,249,287","14,501,603","15,551,672","45,514,076",0,"10,329,749","76,013,982",0,"7,866,596",0,0,180,"1,557,898",0,0,"43,950,146","34,562,322","58,561,283","2,090,445","1,672,780",0,0,"23,246,628","3,191,864","63,199,042","12,530,037","66,583,146","29,901,769","24,447,460","4,430,829","32,090,115","53,312,386","8,763,995","1,224,715","607,888","4,029,555","17,612,689","129,275,086",0,"116,291,227","7,136,965","125,957",0,"252,829,235","50,611,679",0,"138,945,194","63,272,362","252,829,235","50,823,396","249,245,451","-214,572,733","191,643,204","58,769,971","268,670,422","152,379,195",0,"5,005,985",0,"141,581,701","2,636,507","9,498,135","139,950,168",770,326,"1,408,464","212,508","1,620,972",198,0,"113,311","410,234","430,168","14,048","215,786","95,856","85,028","24,827","18,699",507,"368,910","348,672","386,372",0,"169,963","10,581","123,966",0,"431,225","400,615","450,408",0,"190,171","11,435","137,118",0,
106231013,ADVENTIST HEALTH MENDOCINO COAST,07/01/2020,12/31/2020,184,Audited,Incl. Ind. Audit Adj.,Mendocino,1,111,Non-Profit,General,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,JUDY LEACH,ADMINISTRATOR,WWW.ADVENTISTHEALTH.ORG/MENDOCINO-COAST,ADVENTIST HEALTH,SCOTT YASUDA,"STRATEGIC REIMBURSEMENT GROUP, LLC",,05-1325,1538113725,,25,25,14,"1,594",140,48,378,0,91,0,0,16,"2,267",272,32,14,84,0,26,0,0,8,436,19,0,0,0,6,0,"1,257",0,0,0,"1,010",0,345,0,0,0,91,0,49.3,49.3,5.2,3.6,0,0,0,"14,867","1,024",386,"3,672",0,"4,724",439,0,504,"25,616","4,108","11,594","1,917","7,208",0,2,"4,920","48,872",45,753,0,0,"54,624,502","26,761,117","58,200","27,921,585","52,931","27,711,773","262,743","166,136","86,180",0,0,"342,699","7,605,216","10,559,283","36,460,003","8,002,677","768,121","340,488","2,346,122",0,"635,666",0,0,"206,808","12,299,882","23,997,983","1,736,597","670,582","6,171,028",0,"7,965,182","985,612",0,"797,636","42,324,620","15,312,650","1,209,929","546,787","4,606,043",0,0,"4,478,150","513,169","79,227",0,932,0,"14,230",0,"58,200",0,0,"16,688,010","1,294,789","464,283","3,969,307",0,"4,122,698","472,443",0,"910,055",0,"-1,063,515",0,47,0,0,"2,611,793","5,741,892","9,327,795",0,0,0,0,"3,316,993","1,674,650","3,400,338","1,638,312","8,740,932","2,849,939","3,290,563","2,953,437","4,456,675","2,791,007","10,738","1,297,478","238,934","213,890","868,180","29,870,060",0,"7,699,797","59,211",0,0,"37,629,068","8,937,884",0,"29,412,000","-720,816","37,629,068",0,"18,738,104","-4,520,663",0,"8,512,977","8,512,977","813,180",0,0,0,"31,036,695","1,624,695","679,407","1,082,660",125,25,"253,075","31,861","284,936",42,0,"46,025","58,750","40,060",0,"6,108","57,489","17,966","1,274","5,555","19,848","30,358","75,561","60,274",0,"43,162","21,140","22,580",0,"33,903","85,919","65,635",0,"49,500","23,953","26,026",0,
106100797,ADVENTIST HEALTH REEDLEY,01/01/2020,12/31/2020,366,Audited,Incl. Ind. Audit Adj.,Fresno,9,607,Non-Profit,General,Comparable,Rural,559-638-8155,372 WEST CYPRESS AVENUE,REEDLEY,93654,ANDREA KOFL,CEO/PRESIDENT,WWW.ADVENTISTHEALTHCV.COM,ADVENTIST HEALTH,MIMI BOHR,"TOYON ASSOCIATES, INC.",,05-0192,HSC00192F,ZZR00192F,49,49,11,804,330,416,"1,794",0,19,393,0,31,"3,787",362,149,188,807,0,9,177,0,14,"1,706",49,0,0,0,0,0,"3,787",0,0,0,0,0,"1,706",0,0,0,0,0,21.1,21.1,2.2,2.2,12,"1,911","1,258","66,012","20,974","44,889","302,493",0,"5,290","74,099",0,"25,520","539,277","29,650","500,701",0,"9,331",94,4,"1,920","15,150",20,221,887,407,"303,045,870","123,514,787","1,907,681","181,438,764","14,111,340","169,660,672","25,889,432","2,279,920","11,492",0,0,"28,157,860","14,832,791","154,176,940","134,036,139","7,424,887","3,020,618","4,798,379","21,409,657",0,"207,921","4,604,897",0,"380,028","41,846,387","36,862,863","11,872,590","20,592,070","130,310,366",0,"5,067,364","41,067,159",0,"15,427,071","261,199,483","13,479,511","9,842,282","7,537,594","57,544,097","-4,921,045",0,"2,359,208","19,112,506","8,976,568",0,"3,700,129",0,"5,883,937",0,"1,907,681",0,0,"29,206,445","4,583,412","17,734,849","98,362,335",0,"2,326,179","23,183,268",0,"6,042,276",0,"-1,021,972",0,"2,212,631",0,0,"6,319,237","88,566,489","17,653,592","156,269","975,407",0,"2,146,375","7,819,111","5,251,774","33,033,909","7,738,509","45,278,730","21,115,050","32,420,617","1,294,664","14,321,460","41,678,082","3,561,734","4,915,542","559,350","433,147","4,082,296","136,269,412",0,"66,396,705","8,070,997",0,"9,944,063","220,681,177","32,046,801",0,"50,539,646","138,094,730","220,681,177","84,957,461","49,980,393","-23,978,765","23,660,396","64,149,672","96,390,786","29,994,081",0,0,"50,539,646","53,553,119","3,013,473","1,220,302","10,602,721",715,266,"1,316,888","176,330","1,493,218",132,7,"122,042","231,021","138,781","43,476","365,556","236,526","24,345","148,493","5,119","1,529","93,118","1,000,571","121,871","16,208","33,674",108,"51,338",0,"103,825","1,145,084","136,742","17,120","37,039",110,"53,298",0,
