FAC_NO,FAC_NAME,ADDRESS,CITY,COUNTY,ZIP_CODE,PHONE,OWNER,CEO,TYPE_HOSP,TYPE_CNTRL,TYPE_CARE,HSA_NAME,DSH_HOSP
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,Alameda,94609,510-204-4444,SUTTER HEALTH,DAVID D CLARK,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106010846,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,Alameda,94602,510-437-4800,COUNTY OF ALAMEDA,JAMES E.T. JACKSON,Comparable,City/County,General,05 - EAST BAY,DSH
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,Alameda,94577,510-367-8300,"THC-ORANGE COUNTY, INC",LARRY FOSTER,Comparable,Investor,General,05 - EAST BAY,Non-DSH
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,Alameda,94609,510-655-4000,SUTTER HEALTH,DAVID D CLARK,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,Alameda,94545,510-264-4000,HAYWARD SISTERS HOSPITAL,LEX REDDY,Comparable,Non-Profit,General,05 - EAST BAY,DSH
106010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,Alameda,94538,510-797-1111,WASHINGTON TOWNSHIP HEALTHCARE DISTRICT,KIMBERLY HARTZ,Comparable,District,General,05 - EAST BAY,Non-DSH
106013687,MERRITT PERALTA INSTITUTE CDRH,"3012 SUMMIT STREET, 5TH FLOOR",OAKLAND,Alameda,94609,510-869-8802,SUTTER HEALTH,DAVID D CLARK,Comparable,Non-Profit,Specialty,05 - EAST BAY,Non-DSH
106014050,STANFORD HEALTH CARE TRI-VALLEY,5555 W. LAS POSITAS BLVD,PLEASANTON,Alameda,94588,925-847-3000,STANFORD HEALTH CARE,RICK SHUMWAY,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106014132,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PARKWAY,FREMONT,Alameda,94538,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106014207,TELECARE HERITAGE - PHF,2633 EAST 27TH ST,OAKLAND,Alameda,94601,510-535-5115,TELECARE CORPORATION,EDREA MARTINEZ,PHF,Investor,Psychiatric,05 - EAST BAY,Non-DSH
106014226,TELECARE WILLOW ROCK CENTER - PHF,2050 FAIRMONT DRIVE,SAN LEANDRO,Alameda,94578,510-895-5502,TELECARE CORPORATION,JULIE HODGES,PHF,Investor,Psychiatric,05 - EAST BAY,DSH
106014233,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,Alameda,94546,510-537-1234,SUTTER HEALTH,SHANNON THOMAS,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106014326,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W. MACARTHUR BLVD,OAKLAND,Alameda,94611,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106014337,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED ST,SAN LEANDRO,Alameda,94577,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106015000,KAISER FOUNDATION NORTHERN REGION,393 E. WALNUT STREET,PASADENA,,91188,626-405-5000,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106040802,ORCHARD HOSPITAL,240 SPRUCE STREET,GRIDLEY,Butte,95948,530-846-9000,ORCHARD HOSPITAL,STEVE LEE STARK,Comparable,District,General,01 - NORTHERN CALIFORNIA,Non-DSH
106040937,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,Butte,95966,530-533-8500,OROHEALTH CORPORATION,ROBERT J. WENTZ,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106040962,ENLOE MEDICAL CENTER - ESPLANADE CAMPUS,1531 ESPLANADE,CHICO,Butte,95926,530-332-7300,ENLOE MEDICAL CENTER,MIKE WILTERMOOD,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,Non-DSH
106044006,BUTTE COUNTY MENTAL HEALTH - PHF,592 RIO LINDO AVENUE,CHICO,Butte,95926,530-891-2775,COUNTY OF BUTTE,"SCOTT KENNELLY, L.C.S.W",PHF,City/County,Psychiatric,01 - NORTHERN CALIFORNIA,DSH
106050932,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH ROAD,SAN ANDREAS,Calaveras,95249,209-754-3521,MARK TWAIN MEDICAL CENTER,DOUGLAS ARCHER,Comparable,Non-Profit,General,06 - NORTH SAN JOAQUIN,Non-DSH
106070924,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA STREET,MARTINEZ,Contra Costa,94533,925-370-4222,COUNTY OF CONTRA COSTA,SAMIR B. SHAH,Comparable,City/County,General,05 - EAST BAY,DSH
106070934,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,ANTIOCH,Contra Costa,94509,925-779-7200,SUTTER HEALTH,SHERIE HICKMAN,Comparable,Non-Profit,General,05 - EAST BAY,DSH
106070988,JOHN MUIR MEDICAL CENTER - WALNUT CREEK,1601 YGNACIO VALLEY ROAD,WALNUT CREEK,Contra Costa,94598,925-939-3000,JOHN MUIR HEALTH,MICHAEL THOMAS,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106070990,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 SOUTH MAIN ST,WALNUT CREEK,Contra Costa,94596,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106071018,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,2540 EAST STREET,CONCORD,Contra Costa,94520,925-682-8200,JOHN MUIR HEALTH,MICHAEL THOMAS,Comparable,Non-Profit,General,05 - EAST BAY,Non-DSH
106074039,JOHN MUIR BEHAVIORAL HEALTH CENTER,2740 GRANT STREET,CONCORD,Contra Costa,94520,800-680-6500,JOHN MUIR HEALTH,MICHAEL THOMAS,Comparable,Non-Profit,Psychiatric,05 - EAST BAY,Non-DSH
106074097,KAISER FOUNDATION HOSPITAL - ANTIOCH,451 SAND CREEK ROAD,ANTIOCH,Contra Costa,94531,510-987-3380,KAISER FOUNDATION HOSPITALS,GREGORY ADAMS,Kaiser,Non-Profit,General,05 - EAST BAY,Non-DSH
106084001,SUTTER COAST HOSPITAL,800 EAST WASHINGTON BOULEVARD,CRESCENT CITY,Del Norte,95531,707-464-8511,SUTTER COAST HOSPITAL,MITCHELL J HANNA,Comparable,Non-Profit,General,01 - NORTHERN CALIFORNIA,DSH
106090793,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,SOUTH LAKE TAHOE,El Dorado,96150,530-541-3420,BARTON HEALTHCARE SYSTEM,"CLINT PURVANCE, MD",Comparable,Non-Profit,General,02 - GOLDEN EMPIRE,Non-DSH
106094002,TELECARE EL DORADO COUNTY P.H.F.,935-B SPRING STREET,PLACERVILLE,El Dorado,95667,530-621-6213,TELECARE CORPORATION,JARED NYAGOL,PHF,Investor,Psychiatric,02 - GOLDEN EMPIRE,DSH
