Label Key,Category,Subcategory,Data Item
FAC_NO,Hospital Information,Disclosure Report Information,HCAI Facility Number
FAC_NAME,Hospital Information,Disclosure Report Information,Facility DBA Name
BEG_DATE,Hospital Information,Disclosure Report Information,Report Period Begin Date
END_DATE,Hospital Information,Disclosure Report Information,Report Period End Date
DAY_PER,Hospital Information,Disclosure Report Information,Days in Report Period
DATA_IND,Hospital Information,Disclosure Report Information,Data Status Indicator
AUDIT_IND,Hospital Information,Disclosure Report Information,Independent Audit Indicator
COUNTY,Hospital Information,General Hospital Information,County Name
HSA,Hospital Information,General Hospital Information,Health Service Area (HSA) Number
HFPA,Hospital Information,General Hospital Information,Health Facility Planning Area (HFPA) Number
TYPE_CNTRL,Hospital Information,General Hospital Information,Type of Control
TYPE_CARE,Hospital Information,General Hospital Information,Type of Care
TYPE_HOSP,Hospital Information,General Hospital Information,Type of Hospital
TEACH_RURL,Hospital Information,General Hospital Information,Teaching or Small/Rural Hospital
PHONE,Hospital Information,General Hospital Information,Phone Number
ADDRESS,Hospital Information,General Hospital Information,Address
CITY,Hospital Information,General Hospital Information,City
ZIP_CODE,Hospital Information,General Hospital Information,Zip Code
CEO,Hospital Information,General Hospital Information,Chief Executive Officer
CEO_TITLE,Hospital Information,General Hospital Information,CEO Title
WEB_SITE,Hospital Information,General Hospital Information,Hospital Web-site Address
OWNER,Hospital Information,General Hospital Information,Hospital Owner
RPT_PREP,Hospital Information,General Hospital Information,Report Preparer
ORG_NAME,Hospital Information,General Hospital Information,Report Preparer Organization Name
ER_DESIG,Hospital Information,General Hospital Information,ER Trauma Center Designation
MCAR_PRO#,Hospital Information,General Hospital Information,Medicare Provider Number
MCAL_PRO#,Hospital Information,General Hospital Information,Medi-Cal Contract Provider Number
REG_MCAL#,Hospital Information,General Hospital Information,Medi-Cal Non-Contract Provider Number
BED_LIC,Performance Metrics,Beds (Excluding Beds in Suspense and Nursery Bassinets),Licensed Beds (End of Period)
BED_AVL,Performance Metrics,Beds (Excluding Beds in Suspense and Nursery Bassinets),Available Beds (Average)
BED_STF,Performance Metrics,Beds (Excluding Beds in Suspense and Nursery Bassinets),Staffed Beds (Average)
DAY_MCAR_TR,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Medicare-Traditional
DAY_MCAR_MC,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Medicare-Managed Care
DAY_MCAL_TR,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Medi-Cal-Traditional
DAY_MCAL_MC,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Medi-Cal-Managed Care
DAY_CNTY,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days County Indigent Programs-Traditional & Man. Care
DAY_THRD_TR,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Other Third Parties-Traditional
DAY_THRD_MC,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Other Third Parties-Managed Care
DAY_OTH_IND,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Other Indigent
DAY_OTH,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Other Payers
DAY_TOT,Performance Metrics,Patient (Census) Days by Payer Category,Patient (Census) Days Total
DIS_MCAR_TR,Performance Metrics,Discharges by Payer Category,Discharges Medicare-Traditional
DIS_MCAR_MC,Performance Metrics,Discharges by Payer Category,Discharges Medicare-Managed Care
DIS_MCAL_TR,Performance Metrics,Discharges by Payer Category,Discharges Medi-Cal-Traditional
DIS_MCAL_MC,Performance Metrics,Discharges by Payer Category,Discharges Medi-Cal-Managed Care
DIS_CNTY,Performance Metrics,Discharges by Payer Category,Discharges County Indigent Programs-Traditional & Managed Care
DIS_THRD_TR,Performance Metrics,Discharges by Payer Category,Discharges Other Third Parties-Traditional
DIS_THRD_MC,Performance Metrics,Discharges by Payer Category,Discharges Other Third Parties-Managed Care
DIS_OTH_IND,Performance Metrics,Discharges by Payer Category,Discharges Other Indigent
DIS_OTH,Performance Metrics,Discharges by Payer Category,Discharges Other Payers
DIS_TOT,Performance Metrics,Discharges by Payer Category,Discharges Total
BED_ACUTE,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Acute Care
BED_PSYCH,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Psychiatric Care
BED_CHEM,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Chemical Dependency Care
BED_REHAB,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Rehabilitation Care
BED_LTC,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Long-term Care
BED_RESDNT,Performance Metrics,Licensed Beds by Type of Care,Licensed Beds Residential & Other Daily Services
DAY-ACUTE,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Acute Care
DAY_PSYCH,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Psychiatric Care
DAY_CHEM,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Chemical Dependency Care
DAY_REHAB,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Rehabilitation Care
DAY_LTC,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Long-term Care
DAY_RESDNT,Performance Metrics,Patient (Census) Days by Type of Care,Patient (Census) Days Residential & Other Daily Services
DIS_ACUTE,Performance Metrics,Discharges by Type of Care,Discharges Acute Care
DIS_PSYCH,Performance Metrics,Discharges by Type of Care,Discharges Psychiatric Care
DIS_CHEM,Performance Metrics,Discharges by Type of Care,Discharges Chemical Dependency Care
DIS_REHAB,Performance Metrics,Discharges by Type of Care,Discharges Rehabilitation Care
DIS_LTC,Performance Metrics,Discharges by Type of Care,Discharges Long-term Care
DIS_RESDNT,Performance Metrics,Discharges by Type of Care,Discharges Residential & Other Daily Services
OCC_LIC,Performance Metrics,Occupancy Rate and Average Length of Stay (Approximate),Licensed Beds Occupancy Rate
OCC_AVL,Performance Metrics,Occupancy Rate and Average Length of Stay (Approximate),Available Beds Occupancy Rate
ALOS_ALL,Performance Metrics,Occupancy Rate and Average Length of Stay (Approximate),Average Length of Stay (Including LTC)
ALOS_EXLTC,Performance Metrics,Occupancy Rate and Average Length of Stay (Approximate),Average Length of Stay (Excluding LTC)
BAS_NURSRY,Performance Metrics,Nursery Information,Nursery Bassinets
DAY_NURSRY,Performance Metrics,Nursery Information,Nursery Days
DIS_NURSRY,Performance Metrics,Nursery Information,Nursery Discharges
VIS_MCAR_TR,Performance Metrics,Outpatient Visits by Payer Category,Outpatient Visits Medicare-Traditional
VIS_MCAR_MC,Performance Metrics,Outpatient Visits by Payer Category,Outpatient Visits Medicare-Managed Care
